,Weekday,hour_bin,number_of_agents,std
154,6.0,10.0,179,16.02425895322464
155,6.0,11.0,179,22.796655456447994
156,6.0,12.0,162,25.083610186733488
157,6.0,13.0,140,15.811388300841896
158,6.0,14.0,125,9.807522622966516
159,6.0,15.0,104,13.009611831257688
160,6.0,16.0,94,6.748842493346544
161,6.0,17.0,90,10.354816378006047
162,6.0,18.0,53,2.6084897450440554
163,6.0,19.0,47,5.339475629684997
164,6.0,20.0,46,5.048294541503872
165,6.0,21.0,41,5.731855429672549
166,6.0,22.0,27,3.416412592179112
167,6.0,23.0,16,1.7853571071357126
